

1788085082.428771936  Node Startup
1788085107.974344730 INFO /performance_monitor [performance_monitor.py:381(PerformanceMonitor.benchmark_fps)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running FPS benchmark...
1788085112.976845026 INFO /performance_monitor [performance_monitor.py:414(PerformanceMonitor.benchmark_cpu)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running CPU benchmark...
1788085114.288439512 INFO /performance_monitor [performance_monitor.py:438(PerformanceMonitor.benchmark_memory)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running memory benchmark...
1788085114.991929531 INFO /performance_monitor [performance_monitor.py:474(PerformanceMonitor.benchmark_network)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running network benchmark...
1788085116.146748304 INFO /performance_monitor [performance_monitor.py:520(PerformanceMonitor.benchmark_application)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running application benchmark...
1788085116.199101209 INFO /performance_monitor [performance_monitor.py:373(PerformanceMonitor.run_benchmark)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Benchmark completed with overall score: 0.63
1788085116.200588703 INFO /performance_monitor [performance_monitor.py:381(PerformanceMonitor.benchmark_fps)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running FPS benchmark...
1788085121.203038930 INFO /performance_monitor [performance_monitor.py:414(PerformanceMonitor.benchmark_cpu)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running CPU benchmark...
1788085122.426149129 INFO /performance_monitor [performance_monitor.py:438(PerformanceMonitor.benchmark_memory)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running memory benchmark...
1788085123.105081796 INFO /performance_monitor [performance_monitor.py:474(PerformanceMonitor.benchmark_network)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running network benchmark...
1788085124.288549661 INFO /performance_monitor [performance_monitor.py:520(PerformanceMonitor.benchmark_application)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running application benchmark...
1788085124.340685367 INFO /performance_monitor [performance_monitor.py:373(PerformanceMonitor.run_benchmark)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Benchmark completed with overall score: 0.63
1788085124.342097520 INFO /performance_monitor [performance_monitor.py:381(PerformanceMonitor.benchmark_fps)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running FPS benchmark...
1788085129.343830347 INFO /performance_monitor [performance_monitor.py:414(PerformanceMonitor.benchmark_cpu)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Running CPU benchmark...
