

1788082213.074630563  Node Startup
1788082692.973985433 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running FPS benchmark...
1788082693.970089912 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Performance monitoring started
1788082694.970744371 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running FPS benchmark...
1788082695.966073274 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Performance monitoring started
1788082695.980395078 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running CPU benchmark...
1788082696.990123987 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running FPS benchmark...
1788082697.235023498 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running memory benchmark...
1788082697.988495111 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running CPU benchmark...
1788082698.014057874 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Performance monitoring started
1788082698.055639266 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/metrics, /performance/benchmark, /performance/alert, /performance/benchmark_results, /diagnostic_status, /performance/command, /rosout] Running network benchmark...
